const short stage1_map0[40][321] = {
{ -1764, 0, -159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, -427, 0, 0, 3, -624, 0, 0, 0, 
-171, 157, 0, 0, 4, 0, 0, 0, -654, 157, 0, 0, 6, 0, 0, 0, 
-651, 157, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, -762, 157, 0, 0, 
6, 0, 0, 0, -759, 157, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 
-464, 157, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 0, 0, 0, -350, 157, 0, 0, 6, 0, 0, 0, -348, 157, 0, 0, 
-311, 157, 0, 0, 4, 0, 0, 0, -658, 157, 0, 0, 6, 0, 0, 0, 
-655, 157, 0, 0, -208, 157, 0, 0, 4, 0, 0, 0, -455, 157, 0, 0, 
3 },
{ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, -758, 
157, 0, 0, 6, 0, 0, 0, -755, 157, 0, 0, 0, 0, 0, 0, 4, 
0, 0, 0, -607, 157, 0, 0, 6, 0, 0, 0, -605, 157, 0, 0, -238, 
157, 0, 0, 4, 0, 0, 0, -519, 157, 0, 0, 6, 0, 0, 0, -516, 
157, -16, 0, -430, 0, 0, 0, 0, 0, 0, 157, -153, 157, 0, 0, 4, 
0, 0, 0, -558, 157, 0, 0, 6, 0, 0, 0, -556, 157, 0, 0, 0, 
0, 0, 0, 4, 0, 0, 0, -354, 157, 0, 0, 6, 0, 0, 0, -352, 
157, 0, 0, -58, 157, 0, 0, 4, 0, 0, 0, -527, 157, 0, 0, 6, 
0, 0, 0, -525, 157, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, -542, 
157, 0, 0, 6, 0, 0, 0, -540, 157, 0, 0, 0, 0, 0, 0, 4, 
0, 0, 0, -497, 157, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 4, 0, 0, 0, -597, 157, 0, 0, 6, 0, 0, 0, -595, 
157, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, -1062, 157, 0, 0, 3, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, -782, 
157, 0, 0, 6, 0, 0, 0, -779, 157, 0, 0, -273, 157, 0, 0, 4, 
0, 0, 0, -566, 157, 0, 0, 6, 0, 0, 0, -564, 157, 0, 0, -191, 
157, 0, 0, 4, 0, 0, 0, -507, 157, 0, 0, 3, 0, 0, 0, 0, 
0, 0, 0, -171, 157, 0, 0, 4, 0, 0, 0, -654, 157, 0, 0, 6, 
0, 0, 0, -651, 157, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, -762, 
157, 0, 0, 6, 0, 0, 0, -759, 157, 0, 0, 0, 0, 0, 0, 4, 
0 },
{ 0, 0, -464, 157, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 4, 0, 0, 0, -350, 157, 0, 0, 6, 0, 0, 0, -348, 157, 
0, 0, -311, 157, 0, 0, 4, 0, 0, 0, -658, 157, 0, 0, 6, 0, 
0, 0, -655, 157, 0, 0, -208, 157, 0, 0, 4, 0, 0, 0, -455, 157, 
0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 
0, 0, -758, 157, 0, 0, 6, 0, 0, 0, -755, 157, 0, 0, 0, 0, 
0, 0, 4, 0, 0, 0, -607, 157, 0, 0, 6, 0, 0, 0, -605, 157, 
0, 0, -238, 157, 0, 0, 4, 0, 0, 0, -519, 157, 0, 0, 6, 0, 
